implementation,layer,class_id,members,member_count,Y_labels,Y_label_count,observation_tuple_sha256,interpretation
VESTA,O1,V_O1_1,VA0;VA1;VA2;VA3;VA4;VB2,6,"[{""input_acceptance"":""BOTH_LEGS_ACCEPTED"",""return_source"":""CURRENT_PRICE_X_CURRENT_INDEX"",""transition"":""UNTRUSTED_TO_WORKING""},{""input_acceptance"":""BOTH_LEGS_ACCEPTED"",""return_source"":""CURRENT_PRICE_X_CURRENT_INDEX"",""transition"":""WORKING_REFRESH""},{""input_acceptance"":""PRICE_CALL_FAILED_INDEX_ACCEPTED"",""return_source"":""CACHED_PRICE_X_CURRENT_INDEX"",""transition"":""UNTRUSTED_UNCHANGED""},{""input_acceptance"":""PRICE_REJECTED_INDEX_ACCEPTED"",""return_source"":""CACHED_PRICE_X_CURRENT_INDEX"",""transition"":""WORKING_TO_UNTRUSTED""}]",4,56be41a693fa66ac77a9d1fb11e19be60550dc6d98f19b6ba7a37b6da913e843,Finite-matrix class only; singleton is not global semantic identification
VESTA,O1,V_O1_2,VB0;VB1,2,"[{""input_acceptance"":""BOTH_LEGS_ACCEPTED"",""return_source"":""CURRENT_PRICE_X_CURRENT_INDEX"",""transition"":""WORKING_REFRESH""},{""input_acceptance"":""PRICE_REJECTED_INDEX_ACCEPTED"",""return_source"":""CACHED_PRICE_X_CURRENT_INDEX"",""transition"":""WORKING_TO_UNTRUSTED""}]",2,16ad859da8d8ffa40b253620fd1dcb312480e97f21400d47c12ee25810e2d7e8,Finite-matrix class only; singleton is not global semantic identification
AURIGAMI,O1,A_O1_1,AA0;AA1;AA2;AA3;AA4;AB1;AB2,7,"[{""input_acceptance"":""NO_REPORT_INPUT_AT_READ"",""return_source"":""BACKUP_FEED"",""transition"":""PERSISTED_STATE_UNCHANGED""},{""input_acceptance"":""NO_REPORT_INPUT_AT_READ"",""return_source"":""MAIN_AGGREGATE"",""transition"":""PERSISTED_STATE_UNCHANGED""},{""input_acceptance"":""ONE_REPORT_ACCEPTED_AGGREGATE_NOT_REFRESHED"",""return_source"":""BACKUP_FEED"",""transition"":""RAW_ONLY_UPDATED""},{""input_acceptance"":""TWO_REPORTS_ACCEPTED_AGGREGATE_REFRESHED"",""return_source"":""MAIN_AGGREGATE"",""transition"":""MAIN_REFRESHED""}]",4,df6b6fedac1a74c8325f93e0643b2de32e6421134338295f12cf8ad8c1c51675,Finite-matrix class only; singleton is not global semantic identification
AURIGAMI,O1,A_O1_2,AB0,1,"[{""input_acceptance"":""TWO_REPORTS_ACCEPTED_AGGREGATE_REFRESHED"",""return_source"":""MAIN_AGGREGATE"",""transition"":""MAIN_REFRESHED""}]",1,ec8c8590b204a91917c9d82b5a54e64a8f70b1fc8917a56aca72158a777389c2,Finite-matrix class only; singleton is not global semantic identification
FATHOM,O1,F_O1_1,FC0;FC1,2,"[{""input_acceptance"":""REFRESH_NOT_ELIGIBLE"",""return_source"":""DELAYED_RECORD"",""transition"":""UNCHANGED_NOT_ELIGIBLE""},{""input_acceptance"":""SOURCE_RETRIEVAL_ACCEPTED"",""return_source"":""DELAYED_RECORD"",""transition"":""PROMOTE_EQUAL_VALUE""}]",2,641a12ef634b979c8e04dd8131689b21e3651b83776c117c51e6eefb52b6c2ee,Finite-matrix class only; singleton is not global semantic identification
FATHOM,O1,F_O1_2,FC2;FC3,2,"[{""input_acceptance"":""SOURCE_NOT_EVALUATED_RETAINED_STALE"",""return_source"":""DELAYED_RECORD"",""transition"":""PURE_READ_UNCHANGED""},{""input_acceptance"":""SOURCE_NOT_EVALUATED_RETAINED_VALID"",""return_source"":""DELAYED_RECORD"",""transition"":""PURE_READ_UNCHANGED""}]",2,e9ef131347d66bdde0d55a66d5b2a111736df6e0b5f1b8405bd137a81cdc2760,Finite-matrix class only; singleton is not global semantic identification
